"Story","Title","Result","Date","Stability","Duration (s)"
"When checking in to the pet hotel","Petra books her pet cat into the hotel","SUCCESS","2023-07-17T17:06:25.744761871Z[Etc/UTC]","0.0","0.9"
"When checking in to the pet hotel","Petra checks her cat out of the hotel","SUCCESS","2023-07-17T17:06:26.746829934Z[Etc/UTC]","0.0","0.05"
